Time	A	B	C	D	E	F	G	H	I	J
11/15/1994	0.011220479	0.075844487	0.072709163	0.06950449	0.633776695	0.351916147	0.374220806	0.443502825	0	0.214835807
12/15/1994	0.011870492	0.062460166	0.064741036	0.058530096	0.633776695	0.351916147	0.374220806	0.313559322	0	0.233197019
1/15/1995	0.012381218	0.049075844	0.062084993	0.061190555	0.695064427	0.390810264	0.410842745	0.155367232	0	0.24775349
2/15/1995	0.01210264	0.043339707	0.059428951	0.061190555	0.695064427	0.390810264	0.410842745	0.18079096	0	0.257680962
3/15/1995	0.010524035	0.048438496	0.059428951	0.057532424	0.695064427	0.390810264	0.410842745	0.378531073	0	0.264123671
4/15/1995	0.011638345	0.062460166	0.074037185	0.076488194	0.695064427	0.390810264	0.410842745	0.468926554	0	0.272034904
5/15/1995	0.012907419	0.0930529	0.092961487	0.100099767	0.695064427	0.390810264	0.410842745	0.638418079	0.022420046	0.282637661
6/15/1995	0.014718173	0.15360102	0.094289509	0.10475557	0.695064427	0.390810264	0.410842745	0.850282486	0.495878668	0.296421314
7/15/1995	0.014176494	0.174633525	0.082669323	0.090455604	0.695064427	0.390810264	0.410842745	0.95480226	0.847016156	0.314233529
8/15/1995	0.013480051	0.194391332	0.074037185	0.078816096	0.695064427	0.390810264	0.410842745	1	0.92812397	0.338506757
9/15/1995	0.011344291	0.168897387	0.070053121	0.074825407	0.695064427	0.390810264	0.410842745	0.740112994	0.247279921	0.366268849
10/15/1995	0.010988331	0.098151689	0.062416999	0.066178916	0.695064427	0.390810264	0.410842745	0.587570621	0.036597428	0.398001121
11/15/1995	0.011715727	0.033779477	0.055776892	0.061523113	0.695064427	0.390810264	0.410842745	0.279661017	0	0.430675306
12/15/1995	0.009363296	0.029318037	0.059428951	0.069171932	0.695064427	0.390810264	0.410842745	0.186440678	0	0.461519889
1/15/1996	0.007784691	0.035691523	0.064077025	0.07449285	0.736350305	0.430159987	0.446495945	0.124293785	0	0.490032097
2/15/1996	0.007738261	0.047163799	0.065405046	0.075490522	0.736350305	0.430159987	0.446495945	0.172316384	0	0.510805471
3/15/1996	0.006639428	0.054174634	0.081341301	0.099434652	0.736350305	0.430159987	0.446495945	0.231638418	0	0.524280821
4/15/1996	0.006562045	0.075844487	0.108233732	0.120385767	0.736350305	0.430159987	0.446495945	0.451977401	0.001978239	0.528225401
5/15/1996	0.007212059	0.112173359	0.119521912	0.12504157	0.736350305	0.430159987	0.446495945	0.615819209	0.101549621	0.525115214
6/15/1996	0.005308447	0.175270873	0.111553785	0.117725308	0.736350305	0.430159987	0.446495945	0.81920904	0.390702275	0.515273338
7/15/1996	0.005679884	0.226896112	0.104249668	0.110076488	0.736350305	0.430159987	0.446495945	0.838983051	0.415430267	0.500891179
8/15/1996	0.006515616	0.23263225	0.097941567	0.103757898	0.736350305	0.430159987	0.446495945	0.88700565	0.540389054	0.485554539
9/15/1996	0.00574179	0.185468451	0.097277556	0.102427669	0.736350305	0.430159987	0.446495945	0.751412429	0.192548632	0.47012562
10/15/1996	0.00605132	0.12555768	0.098937583	0.106750915	0.736350305	0.430159987	0.446495945	0.553672316	0.007583251	0.453558628
11/15/1996	0.006469186	0.082217973	0.107237716	0.126039242	0.736350305	0.430159987	0.446495945	0.290960452	0	0.434831214
12/15/1996	0.005246541	0.08859146	0.10690571	0.126704357	0.736350305	0.430159987	0.446495945	0.220338983	0	0.416016625
1/15/1997	0.003667936	0.105799873	0.107569721	0.12504157	0.77866192	0.47116406	0.482231949	0.04519774	0	0.400547832
2/15/1997	0.003528647	0.108986616	0.103917663	0.113402062	0.77866192	0.47116406	0.482231949	0.234463277	0	0.390075688
3/15/1997	0.00427152	0.091778203	0.096613546	0.100764882	0.77866192	0.47116406	0.482231949	0.344632768	0	0.386492223
4/15/1997	0.003807224	0.092415551	0.093957503	0.096109079	0.77866192	0.47116406	0.482231949	0.423728814	0	0.38685501
5/15/1997	0.003667936	0.11153601	0.094953519	0.103425341	0.77866192	0.47116406	0.482231949	0.56779661	0.008572371	0.388175247
6/15/1997	0.002770297	0.205226259	0.091633466	0.103425341	0.77866192	0.47116406	0.482231949	0.799435028	0.361028684	0.391262657
7/15/1997	0.003992943	0.235818993	0.086653386	0.099102095	0.77866192	0.47116406	0.482231949	0.881355932	0.590504451	0.396353034
8/15/1997	0.005587024	0.249203314	0.103253652	0.114399734	0.77866192	0.47116406	0.482231949	0.844632768	0.35476426	0.404144587
9/15/1997	0.005556071	0.239643085	0.103253652	0.104423013	0.77866192	0.47116406	0.482231949	0.754237288	0.165182987	0.415955458
10/15/1997	0.003822701	0.166347992	0.093625498	0.089790489	0.77866192	0.47116406	0.482231949	0.56779661	0.106824926	0.430342314
11/15/1997	0.004085802	0.113448056	0.083997344	0.081143997	0.77866192	0.47116406	0.482231949	0.344632768	0	0.447624466
12/15/1997	0.002352431	0.0930529	0.070717131	0.069171932	0.77866192	0.47116406	0.482231949	0.279661017	0	0.46595063
1/15/1998	0.004302473	0.084767368	0.055776892	0.048553375	0.819563147	0.510787203	0.517595003	0.231638418	0	0.484173692
2/15/1998	0.006283468	0.084767368	0.043824701	0.044562687	0.819563147	0.510787203	0.517595003	0.381355932	0	0.502406871
3/15/1998	0.007738261	0.077119184	0.034528552	0.039906884	0.819563147	0.510787203	0.517595003	0.36440678	0.017804154	0.51720153
4/15/1998	0.007691831	0.110261313	0.039508632	0.049883605	0.819563147	0.510787203	0.517595003	0.52259887	0	0.528880953
5/15/1998	0.007397778	0.166985341	0.049468792	0.064848686	0.819563147	0.510787203	0.517595003	0.740112994	0.223541048	0.533089488
6/15/1998	0.00818708	0.21861058	0.04747676	0.060525441	0.819563147	0.510787203	0.517595003	0.813559322	0.427959116	0.532307593
7/15/1998	0.010400223	0.219885277	0.043492696	0.061523113	0.819563147	0.510787203	0.517595003	0.912429379	0.639301022	0.527166612
8/15/1998	0.009115672	0.265774379	0.034860558	0.050216162	0.819563147	0.510787203	0.517595003	0.90960452	0.607978899	0.521084331
9/15/1998	0.011715727	0.247291268	0.030544489	0.044895244	0.819563147	0.510787203	0.517595003	0.810734463	0.331684801	0.517859199
10/15/1998	0.011344291	0.160611855	0.032868526	0.044562687	0.819563147	0.510787203	0.517595003	0.607344633	0.015166502	0.518619672
11/15/1998	0.009394249	0.095602294	0.023904382	0.031925507	0.819563147	0.510787203	0.517595003	0.460451977	0	0.528500475
12/15/1998	0.012768131	0.080305927	0.009296149	0.01263718	0.819563147	0.510787203	0.517595003	0.293785311	0	0.548263121
